_time,Load (kW)
2024-08-19 01:00:00+02:00,744.6590334
2024-08-19 02:00:00+02:00,711.6647825
2024-08-19 03:00:00+02:00,683.285406
2024-08-19 04:00:00+02:00,605.3042977
2024-08-19 05:00:00+02:00,601.196288
2024-08-19 06:00:00+02:00,963.8746025
2024-08-19 07:00:00+02:00,979.9838454
2024-08-19 08:00:00+02:00,1298.055881
2024-08-19 09:00:00+02:00,1467.006966
2024-08-19 10:00:00+02:00,1662.026914
2024-08-19 11:00:00+02:00,1819.844406
2024-08-19 12:00:00+02:00,1800.511208
2024-08-19 13:00:00+02:00,1785.407688
2024-08-19 14:00:00+02:00,1842.918258
2024-08-19 15:00:00+02:00,1765.549176
2024-08-19 16:00:00+02:00,1802.970654
2024-08-19 17:00:00+02:00,1720.269974
2024-08-19 18:00:00+02:00,1566.287396
2024-08-19 19:00:00+02:00,1346.766162
2024-08-19 20:00:00+02:00,1111.002684
2024-08-19 21:00:00+02:00,1073.56753
2024-08-19 22:00:00+02:00,1018.037175
2024-08-19 23:00:00+02:00,731.3426232
2024-08-20 00:00:00+02:00,719.2712133
2024-08-20 01:00:00+02:00,519.469825
2024-08-20 02:00:00+02:00,495.0754346
2024-08-20 03:00:00+02:00,534.1002245
2024-08-20 04:00:00+02:00,560.8589226
2024-08-20 05:00:00+02:00,502.1668183
2024-08-20 06:00:00+02:00,913.4758182
2024-08-20 07:00:00+02:00,939.6328416
2024-08-20 08:00:00+02:00,1220.730047
2024-08-20 09:00:00+02:00,1380.036616
2024-08-20 10:00:00+02:00,1657.666907
2024-08-20 11:00:00+02:00,1622.249381
2024-08-20 12:00:00+02:00,1669.554282
2024-08-20 13:00:00+02:00,1672.60854
2024-08-20 14:00:00+02:00,1655.414156
2024-08-20 15:00:00+02:00,1671.464695
2024-08-20 16:00:00+02:00,1673.213618
2024-08-20 17:00:00+02:00,1606.916086
2024-08-20 18:00:00+02:00,1633.473257
2024-08-20 19:00:00+02:00,1448.854055
2024-08-20 20:00:00+02:00,1112.53451
2024-08-20 21:00:00+02:00,1070.397829
2024-08-20 22:00:00+02:00,1017.620036
2024-08-20 23:00:00+02:00,786.5207944
2024-08-21 00:00:00+02:00,755.4784804
2024-08-21 01:00:00+02:00,562.1321564
2024-08-21 02:00:00+02:00,525.0310924
2024-08-21 03:00:00+02:00,533.7390538
2024-08-21 04:00:00+02:00,555.6092848
2024-08-21 05:00:00+02:00,532.914558
2024-08-21 06:00:00+02:00,965.3161643
2024-08-21 07:00:00+02:00,951.2845353
2024-08-21 08:00:00+02:00,1322.487886
2024-08-21 09:00:00+02:00,1481.099319
2024-08-21 10:00:00+02:00,1674.845866
2024-08-21 11:00:00+02:00,1810.355593
2024-08-21 12:00:00+02:00,1780.821631
2024-08-21 13:00:00+02:00,1809.35811
2024-08-21 14:00:00+02:00,1713.021278
2024-08-21 15:00:00+02:00,1809.098969
2024-08-21 16:00:00+02:00,1762.780273
2024-08-21 17:00:00+02:00,1683.432695
2024-08-21 18:00:00+02:00,1528.909364
2024-08-21 19:00:00+02:00,1291.072424
2024-08-21 20:00:00+02:00,1066.243954
2024-08-21 21:00:00+02:00,1001.84926
2024-08-21 22:00:00+02:00,940.2681473
2024-08-21 23:00:00+02:00,769.9614521
2024-08-22 00:00:00+02:00,718.1601588
2024-08-22 01:00:00+02:00,517.092649
2024-08-22 02:00:00+02:00,567.6521097
2024-08-22 03:00:00+02:00,535.0875399
2024-08-22 04:00:00+02:00,582.9052129
2024-08-22 05:00:00+02:00,544.8346994
2024-08-22 06:00:00+02:00,921.674866
2024-08-22 07:00:00+02:00,967.6585322
2024-08-22 08:00:00+02:00,1308.16444
2024-08-22 09:00:00+02:00,1431.643338
2024-08-22 10:00:00+02:00,1402.356862
2024-08-22 11:00:00+02:00,1495.477635
2024-08-22 12:00:00+02:00,1507.847604
2024-08-22 13:00:00+02:00,1520.873321
2024-08-22 14:00:00+02:00,1516.886472
2024-08-22 15:00:00+02:00,1491.944439
2024-08-22 16:00:00+02:00,1496.646945
2024-08-22 17:00:00+02:00,1408.612918
2024-08-22 18:00:00+02:00,1340.372192
2024-08-22 19:00:00+02:00,1206.569136
2024-08-22 20:00:00+02:00,983.2193672
2024-08-22 21:00:00+02:00,958.5439205
2024-08-22 22:00:00+02:00,956.5557656
2024-08-22 23:00:00+02:00,752.6118733
2024-08-23 00:00:00+02:00,704.0658365
2024-08-23 01:00:00+02:00,515.3640593
2024-08-23 02:00:00+02:00,509.1688662
2024-08-23 03:00:00+02:00,514.3864777
2024-08-23 04:00:00+02:00,520.1958764
2024-08-23 05:00:00+02:00,534.3805717
2024-08-23 06:00:00+02:00,889.2059661
2024-08-23 07:00:00+02:00,907.0511667
2024-08-23 08:00:00+02:00,1209.110479
2024-08-23 09:00:00+02:00,1221.12245
2024-08-23 10:00:00+02:00,1350.04197
2024-08-23 11:00:00+02:00,1491.737479
2024-08-23 12:00:00+02:00,1553.760011
2024-08-23 13:00:00+02:00,1531.683867
2024-08-23 14:00:00+02:00,1572.548339
2024-08-23 15:00:00+02:00,1601.379315
2024-08-23 16:00:00+02:00,1539.604501
2024-08-23 17:00:00+02:00,1536.891398
2024-08-23 18:00:00+02:00,1508.566466
2024-08-23 19:00:00+02:00,1436.619678
2024-08-23 20:00:00+02:00,1260.784045
2024-08-23 21:00:00+02:00,1163.254904
2024-08-23 22:00:00+02:00,1133.987971
2024-08-23 23:00:00+02:00,880.5704392
2024-08-24 00:00:00+02:00,584.2273147
2024-08-24 01:00:00+02:00,335.4143165
2024-08-24 02:00:00+02:00,345.3603335
2024-08-24 03:00:00+02:00,289.0222108
2024-08-24 04:00:00+02:00,322.3618033
2024-08-24 05:00:00+02:00,304.3321623
2024-08-24 06:00:00+02:00,682.7798993
2024-08-24 07:00:00+02:00,704.7329355
2024-08-24 08:00:00+02:00,868.1911606
2024-08-24 09:00:00+02:00,918.3956678
2024-08-24 10:00:00+02:00,975.7044463
2024-08-24 11:00:00+02:00,985.5324261
2024-08-24 12:00:00+02:00,1016.853749
2024-08-24 13:00:00+02:00,1005.821901
2024-08-24 14:00:00+02:00,1011.462981
2024-08-24 15:00:00+02:00,984.5591376
2024-08-24 16:00:00+02:00,1032.601058
2024-08-24 17:00:00+02:00,1114.36812
2024-08-24 18:00:00+02:00,1201.552075
2024-08-24 19:00:00+02:00,1262.434709
2024-08-24 20:00:00+02:00,1059.158723
2024-08-24 21:00:00+02:00,1097.171861
2024-08-24 22:00:00+02:00,1009.798248
2024-08-24 23:00:00+02:00,771.8956711
2024-08-25 00:00:00+02:00,767.7058556
2024-08-25 01:00:00+02:00,582.2052567
2024-08-25 02:00:00+02:00,507.1224539
2024-08-25 03:00:00+02:00,481.731383
2024-08-25 04:00:00+02:00,453.4541321
2024-08-25 05:00:00+02:00,432.9871653
2024-08-25 06:00:00+02:00,750.0243879
2024-08-25 07:00:00+02:00,688.5058147
2024-08-25 08:00:00+02:00,989.5966477
2024-08-25 09:00:00+02:00,1048.955227
2024-08-25 10:00:00+02:00,1096.973392
2024-08-25 11:00:00+02:00,1078.381358
2024-08-25 12:00:00+02:00,1061.636107
2024-08-25 13:00:00+02:00,1041.182703
2024-08-25 14:00:00+02:00,955.5745444
2024-08-25 15:00:00+02:00,970.3607045
2024-08-25 16:00:00+02:00,1100.957801
2024-08-25 17:00:00+02:00,1044.994094
2024-08-25 18:00:00+02:00,947.3678954
2024-08-25 19:00:00+02:00,970.434549
2024-08-25 20:00:00+02:00,739.32028
2024-08-25 21:00:00+02:00,780.99887
2024-08-25 22:00:00+02:00,698.6962491
2024-08-25 23:00:00+02:00,536.0885659
