_time,Energy price (PLN/MWh),PV_3MW_generation (kWh)
2024-08-26 00:00:00+02:00,395,0
2024-08-26 01:00:00+02:00,395,0
2024-08-26 02:00:00+02:00,397,0
2024-08-26 03:00:00+02:00,389,0
2024-08-26 04:00:00+02:00,376,0
2024-08-26 05:00:00+02:00,384,0
2024-08-26 06:00:00+02:00,395,0
2024-08-26 07:00:00+02:00,748,14.70000029
2024-08-26 08:00:00+02:00,917,149.7000046
2024-08-26 09:00:00+02:00,660,287.1000137
2024-08-26 10:00:00+02:00,400,376.5
2024-08-26 11:00:00+02:00,849,787.5
2024-08-26 12:00:00+02:00,820,1202.100037
2024-08-26 13:00:00+02:00,290,1655.399963
2024-08-26 14:00:00+02:00,294,1926.30011
2024-08-26 15:00:00+02:00,320,2226.600037
2024-08-26 16:00:00+02:00,385,1913.399963
2024-08-26 17:00:00+02:00,439,1825.80011
2024-08-26 18:00:00+02:00,544,1351.800018
2024-08-26 19:00:00+02:00,800,748.8000183
2024-08-26 20:00:00+02:00,944,180.3000069
2024-08-26 21:00:00+02:00,538,9.899999857
2024-08-26 22:00:00+02:00,475,6
2024-08-26 23:00:00+02:00,425,0
2024-08-27 00:00:00+02:00,379,0
2024-08-27 01:00:00+02:00,364,0
2024-08-27 02:00:00+02:00,364,0
2024-08-27 03:00:00+02:00,364,0
2024-08-27 04:00:00+02:00,364,0
2024-08-27 05:00:00+02:00,355,0
2024-08-27 06:00:00+02:00,399,0
2024-08-27 07:00:00+02:00,465,15.29999971
2024-08-27 08:00:00+02:00,520,106.5
2024-08-27 09:00:00+02:00,483,235.7999954
2024-08-27 10:00:00+02:00,429,240
2024-08-27 11:00:00+02:00,404,653.7000275
2024-08-27 12:00:00+02:00,394,1157.100037
2024-08-27 13:00:00+02:00,390,1662.899963
2024-08-27 14:00:00+02:00,393,1933.80011
2024-08-27 15:00:00+02:00,380,2133
2024-08-27 16:00:00+02:00,402,2105.100037
2024-08-27 17:00:00+02:00,473,1835.700073
2024-08-27 18:00:00+02:00,570,1377.600037
2024-08-27 19:00:00+02:00,670,767.0999908
2024-08-27 20:00:00+02:00,635,198
2024-08-27 21:00:00+02:00,480,7.800000429
2024-08-27 22:00:00+02:00,400,6
2024-08-27 23:00:00+02:00,393,0
2024-08-28 00:00:00+02:00,336,0
2024-08-28 01:00:00+02:00,261,0
2024-08-28 02:00:00+02:00,207,0
2024-08-28 03:00:00+02:00,170,0
2024-08-28 04:00:00+02:00,140,0
2024-08-28 05:00:00+02:00,151,0
2024-08-28 06:00:00+02:00,251,4.800000072
2024-08-28 07:00:00+02:00,405,13.79999971
2024-08-28 08:00:00+02:00,362,109.2000046
2024-08-28 09:00:00+02:00,382,272.4000092
2024-08-28 10:00:00+02:00,277,345
2024-08-28 11:00:00+02:00,173,780
2024-08-28 12:00:00+02:00,-77,1254.900055
2024-08-28 13:00:00+02:00,-37,1656
2024-08-28 14:00:00+02:00,-20,1892.700073
2024-08-28 15:00:00+02:00,119,2017.200073
2024-08-28 16:00:00+02:00,225,1015.5
2024-08-28 17:00:00+02:00,356,1911.899963
2024-08-28 18:00:00+02:00,350,352.5
2024-08-28 19:00:00+02:00,809,607.8000183
2024-08-28 20:00:00+02:00,889,65.40000343
2024-08-28 21:00:00+02:00,627,7.200000286
2024-08-28 22:00:00+02:00,372,6.300000429
2024-08-28 23:00:00+02:00,374,6
2024-08-29 00:00:00+02:00,370,0
2024-08-29 01:00:00+02:00,346,0
2024-08-29 02:00:00+02:00,341,0
2024-08-29 03:00:00+02:00,339,0
2024-08-29 04:00:00+02:00,354,0
2024-08-29 05:00:00+02:00,364,0
2024-08-29 06:00:00+02:00,401,0
2024-08-29 07:00:00+02:00,447,4.199999928
2024-08-29 08:00:00+02:00,530,25.5
2024-08-29 09:00:00+02:00,1498,93.30000114
2024-08-29 10:00:00+02:00,1420,243.9000092
2024-08-29 11:00:00+02:00,890,845.6999817
2024-08-29 12:00:00+02:00,810,656.4000092
2024-08-29 13:00:00+02:00,607,1688.399963
2024-08-29 14:00:00+02:00,500,2238.30011
2024-08-29 15:00:00+02:00,349,2320.200073
2024-08-29 16:00:00+02:00,372,2084.100037
2024-08-29 17:00:00+02:00,403,2035.5
2024-08-29 18:00:00+02:00,500,1543.80011
2024-08-29 19:00:00+02:00,940,975.6000366
2024-08-29 20:00:00+02:00,714,240.2999954
2024-08-29 21:00:00+02:00,761,7.200000286
2024-08-29 22:00:00+02:00,452,0
2024-08-29 23:00:00+02:00,429,0
2024-08-30 00:00:00+02:00,390,0
2024-08-30 01:00:00+02:00,441,0
2024-08-30 02:00:00+02:00,452,0
2024-08-30 03:00:00+02:00,452,0
2024-08-30 04:00:00+02:00,448,0
2024-08-30 05:00:00+02:00,449,0
2024-08-30 06:00:00+02:00,424,0
2024-08-30 07:00:00+02:00,452,11.39999986
2024-08-30 08:00:00+02:00,521,220.5
2024-08-30 09:00:00+02:00,455,313.7999954
2024-08-30 10:00:00+02:00,442,410.4000092
2024-08-30 11:00:00+02:00,297,805.8000183
2024-08-30 12:00:00+02:00,190,1328.400055
2024-08-30 13:00:00+02:00,153,1795.200073
2024-08-30 14:00:00+02:00,169,2150.100037
2024-08-30 15:00:00+02:00,268,2329.200073
2024-08-30 16:00:00+02:00,400,2373.30011
2024-08-30 17:00:00+02:00,520,1935
2024-08-30 18:00:00+02:00,640,1606.5
2024-08-30 19:00:00+02:00,768,219.6000137
2024-08-30 20:00:00+02:00,743,121.5
2024-08-30 21:00:00+02:00,540,5.699999928
2024-08-30 22:00:00+02:00,480,0
2024-08-30 23:00:00+02:00,387,0
2024-08-31 00:00:00+02:00,267,0
2024-08-31 01:00:00+02:00,10,0
2024-08-31 02:00:00+02:00,0,0
2024-08-31 03:00:00+02:00,0,0
2024-08-31 04:00:00+02:00,-1,0
2024-08-31 05:00:00+02:00,-1,0
2024-08-31 06:00:00+02:00,-1,0
2024-08-31 07:00:00+02:00,0,11.10000014
2024-08-31 08:00:00+02:00,0,175.5
2024-08-31 09:00:00+02:00,0,239.4000092
2024-08-31 10:00:00+02:00,0,352.2000046
2024-08-31 11:00:00+02:00,0,523.8000183
2024-08-31 12:00:00+02:00,-3,1231.5
2024-08-31 13:00:00+02:00,-16,1716.600037
2024-08-31 14:00:00+02:00,-10,2133.600037
2024-08-31 15:00:00+02:00,-370,2280
2024-08-31 16:00:00+02:00,-370,2190.899963
2024-08-31 17:00:00+02:00,0,1883.700073
2024-08-31 18:00:00+02:00,175,1421.100037
2024-08-31 19:00:00+02:00,238,741.9000092
2024-08-31 20:00:00+02:00,267,108
2024-08-31 21:00:00+02:00,222,6
2024-08-31 22:00:00+02:00,200,5.100000143
2024-08-31 23:00:00+02:00,175,0
2024-09-01 00:00:00+02:00,111,0
2024-09-01 01:00:00+02:00,53,0
2024-09-01 02:00:00+02:00,120,0
2024-09-01 03:00:00+02:00,135,0
2024-09-01 04:00:00+02:00,148,0
2024-09-01 05:00:00+02:00,160,0
2024-09-01 06:00:00+02:00,266,0
2024-09-01 07:00:00+02:00,494,9.600000143
2024-09-01 08:00:00+02:00,649,125.3999977
2024-09-01 09:00:00+02:00,650,228.9000092
2024-09-01 10:00:00+02:00,494,276.6000137
2024-09-01 11:00:00+02:00,444,731.7000275
2024-09-01 12:00:00+02:00,391,1175.100037
2024-09-01 13:00:00+02:00,356,1673.100037
2024-09-01 14:00:00+02:00,359,1995.600037
2024-09-01 15:00:00+02:00,372,2106
2024-09-01 16:00:00+02:00,394,2070.899963
2024-09-01 17:00:00+02:00,500,1779
2024-09-01 18:00:00+02:00,604,1326.300018
2024-09-01 19:00:00+02:00,850,732.5999908
2024-09-01 20:00:00+02:00,940,127.8000069
2024-09-01 21:00:00+02:00,662,6.600000143
2024-09-01 22:00:00+02:00,500,6
2024-09-01 23:00:00+02:00,400,0
